FID,LGA,VM_PARCEL_,VM_PARCE_1,DATA_SOURC,OS_CATEGOR,OS_CATEG_2,OWNER_TYPE,PARK_NAME,OS_STATUS,OS_ACCESS,HA,WATER_BODY,OS_TYPE,OWNER_NAME,Image_URL,VPA_ID,SHAPE_Leng,SHAPE_Area
34001,MELBOURNE,N\PP5514D,"202948136",VM CL Parcels,Parks and gardens,Not applicable,Crown,Alexandra Gardens,Existing,Open,1.536000000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35800,0.004924715952552,0.000001571801041
34009,MELBOURNE,2035\PP3084,"220820879",VM Parcels,Natural and semi-natural open space,Not applicable,Crown,Yarra River,Existing,Open,35.682000000000002,Yes,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35808,0.074849440672206,0.000036512077791
34010,MELBOURNE,1\TP808911,"213088575",Manual addition,Natural and semi-natural open space,Not applicable,Public authority,Moonee Ponds Creek,Existing,Open,2.847200000000000,Yes,Public open space,Port of Melbourne Corporation,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35809,0.012099797029223,0.000002913186940
34011,MELBOURNE,2025\PP5514B,"219296343",VM Parcels,Parks and gardens,Not applicable,Crown,Howard & William Street Reserve,Existing,Open,0.066300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35810,0.001429002579761,0.000000067808313
34013,MELBOURNE,2011\PP2796G,"219187022",VM Parcels,Parks and gardens,Not applicable,Crown,Ievers Reserve,Existing,Open,0.058300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35812,0.001460674272625,0.000000059633598
34014,MELBOURNE,19~19\PP2541,"206083232",VM Parcels,Natural and semi-natural open space,Not applicable,Crown,Wildlife Sanctuary,Existing,Open,0.547600000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35813,0.003645144609366,0.000000560146593
34017,MELBOURNE,3\PS638633,"215855976",Melbourne City Council Park Status,Sportsfields and organised recreation,Not applicable,Local government,J J Holland Park,Existing,Open,8.987100000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-IeXcYfXdodo/V47dakbegkI/AAAAAAAAEz8/O9rC3RsPeCAza_GXH_xwCrK0oqmj7UE6gCCo/s288/Collingwood%2Boval.jpg,35816,0.022207059674719,0.000009193377296
34020,MELBOURNE,2026\PP3084,"211909880",VM Parcels,Natural and semi-natural open space,Not applicable,Crown,Yarra River,Existing,Open,1.267000000000000,Yes,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35819,0.007325568649030,0.000001296539759
34023,MELBOURNE,1\TP838048,"207758994",VM Parcels,Recreation corridor,Local link,Local government,Altona Street Reserve,Existing,Open,0.028200000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-YzyOGz7u_dk/Ve-IRNCWD9I/AAAAAAAAEgs/N2Sozq3lC0kPeexjFsQN37TNTI9dV_4EgCCo/s288/Shared%2BTrail%2B-%2BBoroondara.JPG,35300,0.000688847161035,0.000000028875808
34024,MELBOURNE,RES1\PS340235,"1375233",ARCUE2002,Parks and gardens,Neighbourhood link,Local government,Westbourne Road Reserve,Existing,Open,1.585600000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35822,0.016956939086950,0.000001621923051
