Theme,Sub Theme,Feature Name,Co-ordinates
Transport,Transport Terminal,Port of Melbourne,"-37.8137384362671, 144.91753432375"
Transport,Railway Station,Flagstaff Railway Station,"-37.8122356514626, 144.956318211113"
Transport,Marina,New Quay Marina,"-37.8152925454954, 144.942283726231"
Transport,Railway Station,South Kensington Railway Station,"-37.7997270537735, 144.925837749713"
Transport,Railway Station,Royal Park Railway Station,"-37.7812684282825, 144.951667833921"
Transport,Railway Station,Flagstaff Railway Station,"-37.8116384403974, 144.9561186805"
Transport,Railway Station,Melbourne Central Railway Station,"-37.8105992402369, 144.96169061383"
Transport,Railway Station,Melbourne Central Railway Station,"-37.8108930047401, 144.963100728702"
Transport,Railway Station,Flinders Street Railway Station,"-37.8179063007545, 144.967064817875"
Transport,Railway Station,North Melbourne Railway Station,"-37.8073823625058, 144.942429848025"
Transport,Railway Station,Flemington Bridge Railway Station,"-37.7881645889621, 144.939277838304"
Transport,Railway Station,Macaulay Railway Station (North Melbourne) - Train stop,"-37.794964001386, 144.936190756632"
Transport,Railway Station,Kensington Railway Station,"-37.7939140126373, 144.930710207518"
Transport,Railway Station,Parliament Railway Station,"-37.8127621113552, 144.973433796529"
Transport,Railway Station,Parliament Railway Station,"-37.8095762219384, 144.972330132127"
Transport,Railway Station,Melbourne Central Railway Station,"-37.8097759325888, 144.962670059539"
Transport,Railway Station,Flemington Racecourse Railway Station,"-37.7869105822519, 144.908190706069"
Transport,Railway Station,Southern Cross Railway Station,"-37.8181633057171, 144.952944748845"
Transport,Railway Station,Parliament Railway Station,"-37.8116061787171, 144.973017263156"
Transport,Railway Station,Richmond Railway Station (Richmond) - Train stop,"-37.8238992659834, 144.989400751664"
Transport,Railway Station,Jolimont-MCG Railway Station (East Melbourne) - Train stop,"-37.8165651811668, 144.983641003377"
Transport,Railway Station,Parliament Railway Station,"-37.8121572789173, 144.973742010011"
Transport,Railway Station,Showgrounds Railway Station (Flemington),"-37.7834651216244, 144.914902626775"
Transport,Railway Station,Newmarket Railway Station,"-37.7872726241965, 144.929059958114"
Transport,Railway Station,Melbourne Central Railway Station,"-37.8100167030855, 144.963789344893"
Transport,Bridge,Webb Bridge,"-37.8232052384507, 144.947291011905"
Place of Worship,Church,St Francis Church,"-37.8118847831837, 144.962422614541"
Place of Worship,Church,St James Church,"-37.8101281201969, 144.952468571683"
Place of Worship,Church,St Mary's Anglican Church,"-37.8031663672997, 144.953761537074"
Place of Worship,Church,Scots Church,"-37.8145687802664, 144.96855105335"
Place of Worship,Church,St Michael's Uniting Church,"-37.8143851324913, 144.969174036096"
Place of Worship,Church,Greek Orthodox Church,"-37.8088064667555, 144.978259089269"
Place of Worship,Church,North Melbourne Uniting,"-37.8035538471344, 144.947671538375"
Place of Worship,Church,South Yarra Presbyterian Church,"-37.8407473645397, 144.98562699348"
Place of Worship,Synagogue,East Melbourne Synagogue,"-37.809113728917, 144.97422190954"
Place of Worship,Church,St Patricks Cathedral,"-37.8101140950474, 144.975901529712"
Place of Worship,Church,Wesley Church,"-37.8101576446961, 144.968168215633"
Place of Worship,Church,St Augustines Church,"-37.8169741358546, 144.954862000132"
Place of Worship,Church,Church of Christ,"-37.8104524079085, 144.96388920294"
Place of Worship,Church,Holy Trinity,"-37.8140667110854, 144.983197322289"
Place of Worship,Church,Melbourne Unitarian Church,"-37.8114487773394, 144.984664890999"
Place of Worship,Church,All Nations Uniting Church,"-37.7959155303946, 144.968981110942"
Place of Worship,Church,Our Lady of Lebanon Church,"-37.8025766539683, 144.969334720932"
Place of Worship,Church,St Alban Anglican Church,"-37.7942169477929, 144.94161451392"
Place of Worship,Church,Christ Church Kensington,"-37.7932109480553, 144.92729572288"
